rank,author_id,author_name,matched_works,total_works,matched_share,cited_by_count,orcid,flag_low_share,retained
71,A5088768361,Amir Hossein Mahvi,169,674,0.2507418397626113,26699,https://orcid.org/0000-0001-8733-1483,FALSE,TRUE
72,A5008209846,Benjamin F. Arnold,168,466,0.3605150214592275,13285,https://orcid.org/0000-0001-6105-7295,FALSE,TRUE
73,A5020340537,Tapan M. Kadia,166,1854,0.0895361380798274,33832,https://orcid.org/0000-0002-9892-9832,TRUE,FALSE
74,A5022072267,Yu Liu,165,1220,0.13524590163934427,49392,https://orcid.org/0000-0002-9702-349X,FALSE,TRUE
75,A5021400604,Rehan Sadiq,164,602,0.2724252491694352,23095,https://orcid.org/0000-0003-1474-2366,FALSE,TRUE
76,A5057887079,Makarand M. Ghangrekar,163,461,0.35357917570498915,15756,https://orcid.org/0000-0002-0691-9873,FALSE,TRUE
77,A5028106114,William F. Hunt,162,427,0.3793911007025761,13036,https://orcid.org/0000-0001-7855-2591,FALSE,TRUE
78,A5030659875,David Rollinson,162,422,0.38388625592417064,17934,https://orcid.org/0000-0003-1999-1716,FALSE,TRUE
79,A5028053030,Gary Amy,161,473,0.3403805496828753,38791,https://orcid.org/0000-0001-7591-5342,FALSE,TRUE
80,A5100430876,Xi Zhang,161,8672,0.018565498154981548,7292,https://orcid.org/0000-0003-3415-5345,TRUE,FALSE
81,A5032464400,Kenneth C. Anderson,160,3065,0.052202283849918436,169800,https://orcid.org/0000-0002-6418-0886,TRUE,FALSE
82,A5065126237,Juliet Willetts,160,287,0.5574912891986062,2959,https://orcid.org/0000-0002-3975-9642,FALSE,TRUE
83,A5080102032,Hao Wang,160,3688,0.04338394793926247,44294,https://orcid.org/0000-0001-7594-7387,TRUE,FALSE
84,A5011383537,Kazi Matin Ahmed,159,427,0.37236533957845436,18626,https://orcid.org/0000-0001-5188-4385,FALSE,TRUE
85,A5035264813,Marc Edwards,159,427,0.37236533957845436,18795,https://orcid.org/0000-0002-1889-1193,FALSE,TRUE
86,A5063575796,L.C. Rietveld,159,305,0.521311475409836,7618,https://orcid.org/0000-0003-3227-6100,FALSE,TRUE
87,A5000813249,Bhekie B. Mamba,156,612,0.2549019607843137,21187,https://orcid.org/0000-0003-2534-2579,FALSE,TRUE
88,A5058033887,Lluís Corominas,156,255,0.611764705882353,5442,https://orcid.org/0000-0002-5050-2389,FALSE,TRUE
89,A5044323127,Pier Sandro Cocconcelli,155,699,0.2217453505007153,9120,https://orcid.org/0000-0003-2212-7611,FALSE,TRUE
90,A5051097609,Bernhard Ø. Palsson,155,1184,0.13091216216216217,112547,https://orcid.org/0000-0003-2357-6785,FALSE,TRUE
91,A5034622818,Laurence Vernis,154,665,0.23157894736842105,4360,https://orcid.org/0000-0001-7878-0877,FALSE,TRUE
92,A5102838612,Firdausi Qadri,154,450,0.3422222222222222,35526,https://orcid.org/0000-0002-8928-9888,FALSE,TRUE
93,A5026506885,Abu Syed Golam Faruque,153,309,0.49514563106796117,11429,https://orcid.org/0000-0001-8343-4653,FALSE,TRUE
94,A5073238983,Hong‐Ying Hu,153,634,0.24132492113564669,21431,https://orcid.org/0000-0003-2880-3959,FALSE,TRUE
95,A5090262911,Joe Brown,153,251,0.6095617529880478,7221,https://orcid.org/0000-0002-5200-4148,FALSE,TRUE
96,A5039005269,Leanne Unicomb,152,243,0.6255144032921811,10253,https://orcid.org/0000-0002-7757-5641,FALSE,TRUE
97,A5079507855,Maria de Fátima Tavares Poças,152,330,0.46060606060606063,3199,https://orcid.org/0000-0002-6598-6515,FALSE,TRUE
98,A5062203086,Wenhai Chu,151,301,0.5016611295681063,11787,https://orcid.org/0000-0002-3457-3507,FALSE,TRUE
99,A5061907624,Yongzhen Peng,150,596,0.2516778523489933,31583,https://orcid.org/0000-0002-2553-1786,FALSE,TRUE
100,A5064812119,Iosr Journals,150,28406,0.005280574526508484,16696,NA,TRUE,FALSE
101,A5045788106,Andrew S. Azman,148,348,0.42528735632183906,19733,https://orcid.org/0000-0001-8662-9077,FALSE,TRUE
102,A5061386593,Amy J. Pickering,148,225,0.6577777777777778,8775,https://orcid.org/0000-0001-6193-2221,FALSE,TRUE
103,A5038812300,Nicholas J. Ashbolt,147,300,0.49,15525,https://orcid.org/0000-0002-3853-0096,FALSE,TRUE
104,A5001374764,Stephen B. Calderwood,146,301,0.4850498338870432,23317,https://orcid.org/0000-0002-2083-7153,FALSE,TRUE
105,A5047800622,Nico Boon,146,989,0.14762386248736098,54134,https://orcid.org/0000-0002-7734-3103,FALSE,TRUE
